Country,City,Culture,Event,Preferred Color,Preferred Style,Outfit
USA,Miami,Western,Office Meeting,Navy,Modern,Checkered sleeveless blouse with cardigan
USA,Chicago,Western,Wedding,Silver,Modern,Beaded asymmetrical tulle dress with floral appliqués
India,Mumbai,Traditional (North Indian),Casual Party,Vibrant,Traditional,Floral batik print kurti with palazzos
USA,Chicago,Black,Wedding,Kente Colors,Modern,Kente Patterns mermaid gown with Kente cloth details
USA,Houston,Western,Office Meeting,Navy,Traditional,Checkered turtleneck sweater with skirt
England,London,Western,Wedding,Ivory,Modern,Beaded off-shoulder sequin dress
Dubai,Abu Dhabi,Traditional (Middle Eastern),Office Meeting,Beige,Modern,Solid pantsuit with hijab
England,Bristol,Western,Wedding,Silver,Traditional,Embroidered sleeveless pleated dress with a belted waist
Sri Lanka,Colombo,Western,Office Meeting,Black,Modern,Checkered pencil skirt with blouse
India,Delhi,Traditional (North Indian),Wedding,Maroon,Traditional,Sequined Gota patti work lehenga
India,Chennai,Traditional (South Indian),Wedding,Green,Traditional,Zari bridal saree with heavy zari work
England,London,African/Caribbean,Casual Party,Vibrant,Traditional,Tribal mudcloth dress
England,Manchester,African/Caribbean,Office Meeting,Gray,Modern,Subtle Prints peplum top with trousers
India,Bangalore,Traditional (South Indian),Casual Party,Vibrant,Modern,Floral kurti with leggings
England,London,Western,Office Meeting,Beige,Modern,Checkered blazer dress
England,Bristol,Western,Casual Party,Pink,Traditional,Polka dot knee-length skirt with a blouse and pearl necklace
USA,Houston,Western,Casual Party,Green,Modern,Striped romper with lace details and strappy heels
Japan,Kyoto,Traditional Japanese,Wedding,Silver,Modern,Embroidered off-shoulder dress
Dubai,Sharjah,Traditional (Middle Eastern),Wedding,Silver,Modern,Beaded off-shoulder dress with sleeves
USA,Houston,Black,Office Meeting,Brown,Traditional,Solid mudcloth tunic with pants
USA,Chicago,Western,Casual Party,Pink,Modern,Abstract shorts with a flowy blouse and espadrilles
Sri Lanka,Colombo,Western,Office Meeting,Gray,Modern,Checkered business suit
USA,Miami,Western,Office Meeting,Navy,Traditional,Checkered dress with pantyhose
England,London,African/Caribbean,Wedding,Bright,Modern,Ankara ball gown with bold prints
Dubai,Al Ain,Traditional (Middle Eastern),Wedding,Gold,Modern,Embroidered sequin dress
Malaysia,Ipoh,Chinese,Casual Party,Multicolor,Traditional,Printed embroidered tunic
Malaysia,Ipoh,Malay,Wedding,Silver,Modern,Embroidered evening gown
England,London,Western,Casual Party,Red,Traditional,Striped blouse with a long skirt and low heels
England,Manchester,Western,Casual Party,Pink,Modern,Abstract denim skirt with a graphic tee and sneakers
USA,Chicago,Black,Casual Party,Bright,Modern,Geometric jumpsuit with beaded accents and cultural motifs
India,Mumbai,Western,Casual Party,Yellow,Modern,Abstract shorts with a flowy blouse and espadrilles
India,Mumbai,Western,Wedding,White,Modern,Embroidered ivory lace evening gown
Malaysia,Kuching,Malay,Office Meeting,Beige,Traditional,Minimal Embroidery songket skirt with blouse
Dubai,Dubai,Traditional (Middle Eastern),Casual Party,Earth Tones,Traditional,Geometric long tunic with pants
England,London,Western,Office Meeting,Gray,Traditional,Checkered twinset with skirt
Dubai,Abu Dhabi,Traditional (Middle Eastern),Office Meeting,Navy,Modern,Solid high-neck blouse with skirt
Sri Lanka,Galle,Traditional (Sinhala),Office Meeting,Pastel,Modern,Minimal Embroidery simple saree
USA,New York,Western,Office Meeting,Gray,Traditional,Solid cardigan over dress
England,London,African/Caribbean,Office Meeting,Navy,Traditional,Solid Kente skirt with blouse
Japan,Tokyo,Western,Office Meeting,Gray,Modern,Solid sleeveless blouse with cardigan
India,Mumbai,Traditional (North Indian),Casual Party,Vibrant,Traditional,Printed phulkari dupatta with suit
Dubai,Sharjah,Traditional (Middle Eastern),Casual Party,Pastel,Traditional,Printed modest dress with hijab
Japan,Tokyo,Western,Casual Party,Blue,Modern,Striped maxi skirt with a fitted tank top and flats
Sri Lanka,Colombo,Traditional (Sinhala),Casual Party,Pastel,Traditional,Printed casual Kandyan saree
Dubai,Sharjah,Traditional (Middle Eastern),Office Meeting,Navy,Traditional,Solid thobe with hijab
Japan,Tokyo,Western,Casual Party,Blue,Modern,Striped jeans with a stylish off-shoulder top and wedges
Sri Lanka,Jaffna,Traditional (Tamil),Office Meeting,Pastel,Traditional,Solid silk saree
Sri Lanka,Colombo,Western,Casual Party,Blue,Modern,Polka dot sundress with floral prints and sandals
India,Mumbai,Western,Casual Party,Blue,Modern,Floral maxi skirt with a fitted tank top and flats
Dubai,Sharjah,Traditional (Middle Eastern),Office Meeting,Gray,Modern,Solid midi dress with cardigan
Japan,Kyoto,Traditional Japanese,Casual Party,Pastel,Traditional,Geometric kimono with floral patterns
Japan,Tokyo,Western,Casual Party,Green,Modern,Striped sundress with floral prints and sandals
Sri Lanka,Galle,Traditional (Sinhala),Casual Party,Pastel,Modern,Printed wrap dress
Dubai,Dubai,Traditional (Middle Eastern),Wedding,Silver,Modern,Beaded gown with cape
Japan,Tokyo,Traditional Japanese,Wedding,Silver,Traditional,Floral uchikake (embroidered kimono)
Malaysia,Kuantan,Malay,Office Meeting,Light Blue,Modern,Minimal Embroidery peplum top with batik skirt
Dubai,Sharjah,Traditional (Middle Eastern),Casual Party,Pastel,Modern,Geometric shirt dress with leggings
USA,Houston,Western,Office Meeting,Gray,Modern,Checkered pleated skirt with sweater
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,Gold,Traditional,Embroidered silk saree with heavy embroidery
India,Chennai,Traditional (South Indian),Wedding,Red,Modern,Embroidered jacket style saree
Dubai,Abu Dhabi,Traditional (Middle Eastern),Office Meeting,Navy,Modern,Solid peplum top with trousers
Malaysia,Kuching,Malay,Wedding,Maroon,Modern,Embroidered ball gown with sleeves
Malaysia,Ipoh,Chinese,Office Meeting,Black,Traditional,Solid qipao dress
England,Bristol,South Asian,Wedding,Red,Modern,Embroidered lehenga with contemporary design
Malaysia,Ipoh,Malay,Office Meeting,Beige,Traditional,Minimal Embroidery baju kurung
USA,New York,Latino,Wedding,Yellow,Traditional,Ruffles tiered skirt gown with lace accents
Malaysia,Kuching,Chinese,Casual Party,Multicolor,Traditional,Floral silk blouse with skirt
India,Delhi,Traditional (North Indian),Office Meeting,Cream,Modern,Minimal Embroidery salwar kameez
Malaysia,Ipoh,Indian,Wedding,Pink,Modern,Sequined Anarkali gown
USA,Chicago,Black,Wedding,Gold,Modern,Kente Patterns asymmetrical gown with beaded accents
Malaysia,Kuching,Malay,Office Meeting,Pastel,Traditional,Solid batik print baju kurung
Japan,Kyoto,Traditional Japanese,Office Meeting,Pastel,Traditional,Solid komon kimono
USA,Miami,Western,Casual Party,Yellow,Traditional,Striped sweater dress with tights and ankle boots
England,Bristol,Western,Office Meeting,Black,Modern,Checkered blazer dress
Malaysia,Kuching,Indian,Wedding,Red,Traditional,Zari Banarasi silk saree
Malaysia,Ipoh,Chinese,Wedding,Gold,Modern,Embroidered gown with embroidery
England,Bristol,Western,Wedding,Silver,Modern,Embroidered off-shoulder sequin dress
Malaysia,Kuching,Malay,Casual Party,Multicolor,Traditional,Batik sarong with blouse
England,Bristol,Western,Office Meeting,Navy,Traditional,Checkered twinset with skirt
Malaysia,Kuching,Chinese,Casual Party,Multicolor,Traditional,Printed brocade skirt with top
Sri Lanka,Colombo,Traditional (Sinhala),Office Meeting,Cream,Modern,Solid formal trousers with long-sleeve blouse and subtle patterns
Malaysia,Kuching,Indian,Casual Party,Vibrant,Modern,Block Print Anarkali
Malaysia,Kuching,Chinese,Casual Party,Multicolor,Traditional,Printed short cheongsam
India,Mumbai,Traditional (North Indian),Wedding,Gold,Modern,Sequined designer lehenga
England,Manchester,African/Caribbean,Casual Party,Yellow,Modern,Geometric fringed top with capris
India,Bangalore,Traditional (South Indian),Wedding,Red,Traditional,Embroidered saree with paisley design
Sri Lanka,Galle,Traditional (Sinhala),Wedding,Maroon,Traditional,Embroidered silk saree with heavy embroidery
USA,Houston,Western,Wedding,Ivory,Traditional,Lace floral A-line dress with a matching shawl
England,London,Western,Casual Party,Red,Modern,Abstract off-shoulder blouse with high-waisted jeans and heels
Sri Lanka,Colombo,Western,Casual Party,Blue,Traditional,Floral knee-length skirt with a blouse and pearl necklace
Japan,Tokyo,Western,Office Meeting,Gray,Traditional,Pinstripe cardigan over dress
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,Gold,Modern,Beaded saree gown
England,London,African/Caribbean,Casual Party,Vibrant,Modern,Floral fringed top with capris
Dubai,Sharjah,Traditional (Middle Eastern),Wedding,Silver,Modern,Embroidered off-shoulder dress with sleeves
USA,Chicago,Latino,Wedding,Red,Modern,Lace evening gown with ruffles
Japan,Tokyo,Western,Wedding,Pastel,Modern,Beaded ivory lace evening gown
USA,Chicago,Latino,Wedding,Orange,Modern,Embroidered off-shoulder dress with floral embroidery
England,Manchester,African/Caribbean,Office Meeting,Gray,Modern,Subtle Prints button-down shirt with statement necklace
USA,Chicago,Western,Wedding,Gold,Modern,Lace silk crepe slip dress with cowl neckline
India,Mumbai,Western,Wedding,White,Modern,Embroidered embroidered illusion gown with lace details
England,London,Western,Wedding,Pastel,Traditional,Beaded pastel midi dress with a modest neckline
USA,Chicago,Western,Office Meeting,Gray,Traditional,Checkered button-up shirt with slacks
USA,Miami,Western,Casual Party,Red,Modern,Abstract off-shoulder blouse with high-waisted jeans and heels
India,Bangalore,Traditional (South Indian),Casual Party,Bright,Modern,Batik front-slit kurti with jeans
England,Manchester,African/Caribbean,Office Meeting,Earth Tones,Modern,Solid plain dress with headwrap
England,Manchester,Western,Casual Party,Pink,Modern,Polka dot jeans with a stylish off-shoulder top and wedges
Dubai,Dubai,Traditional (Middle Eastern),Wedding,Gold,Modern,Sequined gown with cape
Malaysia,Ipoh,Indian,Wedding,Pink,Modern,Embroidered jacket style lehenga
Malaysia,Kuching,Malay,Wedding,Gold,Traditional,Embroidered songket baju kurung
India,Mumbai,Western,Casual Party,Blue,Traditional,Floral midi skirt with a sweater and kitten heels
Dubai,Dubai,Traditional (Middle Eastern),Casual Party,Earth Tones,Traditional,Geometric jalabiya with minimal embroidery
Malaysia,Ipoh,Chinese,Wedding,Silver,Modern,Beaded gown with mandarin collar
England,Bristol,South Asian,Wedding,Maroon,Modern,Embroidered gown with ethnic motifs
Malaysia,Kuantan,Malay,Wedding,Silver,Traditional,Lace gold-threaded songket
Japan,Tokyo,Western,Wedding,Silver,Modern,Lace embroidered illusion gown with lace details
England,London,Western,Wedding,Gold,Modern,Embroidered off-shoulder sequin dress
USA,New York,Western,Wedding,Ivory,Modern,Embroidered ivory lace evening gown
England,London,African/Caribbean,Wedding,Turquoise,Traditional,Kente Yoruba iro and buba
England,Bristol,South Asian,Casual Party,Vibrant,Modern,Floral kaftan style kurti
England,Bristol,South Asian,Casual Party,Bright,Traditional,Block Print bandhani print suit
Malaysia,Kuching,Chinese,Wedding,Gold,Traditional,Beaded silk brocade dress
USA,Miami,Western,Casual Party,Red,Traditional,Abstract conservative shift dress with a belt and pumps
Dubai,Dubai,Traditional (Middle Eastern),Wedding,Gold,Traditional,Embroidered embroidered abaya
India,Delhi,Traditional (North Indian),Wedding,Red,Modern,Embroidered jacket style lehenga
Dubai,Abu Dhabi,Traditional (Middle Eastern),Office Meeting,Beige,Modern,Solid blazer with modest dress
USA,Chicago,Western,Wedding,Silver,Modern,Lace modern lace trumpet gown with deep illusion back
England,London,African/Caribbean,Wedding,Bright,Modern,Ankara evening dress with headwrap
England,Manchester,African/Caribbean,Wedding,Purple,Modern,Ankara lace dress
USA,Chicago,Black,Wedding,Vibrant,Modern,Beaded asymmetrical gown with beaded accents
Japan,Tokyo,Western,Office Meeting,Beige,Traditional,Pinstripe conservative dress
USA,Chicago,Black,Wedding,Kente Colors,Traditional,Kente Patterns Zulu traditional attire
USA,Houston,Western,Office Meeting,Gray,Modern,Checkered shift dress
England,Bristol,Western,Casual Party,Yellow,Modern,Abstract crop top with high-waisted pants and block heels
Sri Lanka,Galle,Traditional (Sinhala),Casual Party,Pastel,Modern,Batik skirt with embroidered top
USA,New York,Latino,Office Meeting,Beige,Traditional,Subtle Embroidery frilled dress
Malaysia,Kuching,Chinese,Office Meeting,Black,Modern,Solid Western business attire
USA,New York,Latino,Casual Party,Vibrant,Traditional,Geometric blouse with flared sleeves
Sri Lanka,Colombo,Western,Casual Party,Yellow,Traditional,Striped midi skirt with a sweater and kitten heels
Japan,Tokyo,Western,Wedding,Ivory,Traditional,Embroidered conservative high-neck sheath dress with a pearl collar
Japan,Kyoto,Traditional Japanese,Office Meeting,Pastel,Traditional,Subtle Patterns kimono with obi sash
USA,Chicago,Western,Office Meeting,Gray,Traditional,Checkered cardigan over dress
Malaysia,Kuching,Indian,Office Meeting,Cream,Traditional,Solid block print salwar kameez
Dubai,Abu Dhabi,Traditional (Middle Eastern),Wedding,Emerald,Traditional,Sequined silk kaftan with belt
USA,Chicago,Black,Wedding,Gold,Modern,Ankara Print fringed evening dress with traditional patterns
India,Chennai,Traditional (South Indian),Casual Party,Bright,Traditional,Floral batik print kurti with palazzos
Sri Lanka,Colombo,Western,Office Meeting,Black,Modern,Checkered culottes with shirt
India,Mumbai,Western,Office Meeting,Navy,Traditional,Pinstripe cardigan over dress
USA,Chicago,Western,Wedding,White,Modern,Lace asymmetrical tulle dress with floral appliqués
Sri Lanka,Jaffna,Traditional (Tamil),Casual Party,Vibrant,Modern,Printed long skirt with top
USA,Houston,Western,Office Meeting,Navy,Traditional,Checkered blouse with long skirt
India,Bangalore,Traditional (South Indian),Wedding,Green,Modern,Zari designer saree
USA,Houston,Western,Casual Party,Yellow,Modern,Abstract crop top with high-waisted pants and block heels
USA,Chicago,Western,Casual Party,Yellow,Modern,Floral shorts with a flowy blouse and espadrilles
England,Manchester,Western,Casual Party,Green,Modern,Polka dot denim skirt with a graphic tee and sneakers
India,Mumbai,Traditional (North Indian),Wedding,Maroon,Traditional,Beaded Gota patti work lehenga
USA,Chicago,Western,Casual Party,Pink,Traditional,Polka dot turtleneck sweater with a pleated skirt and loafers
India,Delhi,Traditional (North Indian),Wedding,Red,Traditional,Embroidered Gota patti work lehenga
USA,Houston,Western,Casual Party,Yellow,Modern,Abstract sundress with floral prints and sandals
Sri Lanka,Kandy,Traditional (Sinhala),Office Meeting,Cream,Traditional,Minimal Embroidery saree with traditional Kandyan draping and floral lace accents
Sri Lanka,Colombo,Western,Wedding,Gold,Modern,Embroidered embroidered illusion gown with lace details
USA,Miami,Western,Office Meeting,Beige,Traditional,Solid dress with pantyhose
USA,Houston,Western,Casual Party,Red,Modern,Striped crop top with high-waisted pants and block heels
England,London,African/Caribbean,Casual Party,Orange,Modern,Geometric Ankara skirt with tank top
India,Mumbai,Western,Office Meeting,Black,Traditional,Solid midi skirt with jacket
Malaysia,Ipoh,Indian,Wedding,Pink,Traditional,Zari Zardosi work lehenga
Sri Lanka,Jaffna,Traditional (Tamil),Wedding,Gold,Modern,Embroidered saree gown
England,Bristol,South Asian,Office Meeting,Pastel,Modern,Minimal Embroidery long tunic with leggings
Malaysia,Kuching,Malay,Wedding,Gold,Modern,Lace sequin dress
Dubai,Dubai,Traditional (Middle Eastern),Casual Party,Bright,Traditional,Geometric kimono-style abaya
England,Manchester,Western,Casual Party,Green,Traditional,Polka dot midi skirt with a sweater and kitten heels
India,Mumbai,Western,Wedding,Pastel,Traditional,Lace classic wrap dress with a subtle floral pattern
Japan,Tokyo,Traditional Japanese,Office Meeting,Pastel,Traditional,Subtle Patterns kimono with simple patterns
USA,Chicago,Black,Wedding,Bright,Traditional,Beaded Yoruba iro and buba
England,Bristol,Western,Casual Party,Red,Traditional,Abstract knee-length skirt with a blouse and pearl necklace
USA,Houston,Black,Wedding,Gold,Modern,Kente Patterns mermaid gown with Kente cloth details
England,Manchester,Western,Casual Party,Yellow,Traditional,Floral sweater dress with tights and ankle boots
